,Date,Average temperature (°F),Average humidity (%),Average dewpoint (°F),Average barometer (in),Average windspeed (mph),Average gustspeed (mph),Average direction (°deg),Rainfall for month (in),Rainfall for year (in),Maximum rain per minute,Maximum temperature (°F),Minimum temperature (°F),Maximum humidity (%),Minimum humidity (%),Maximum pressure,Minimum pressure,Maximum windspeed (mph),Maximum gust speed (mph),Maximum heat index (°F),Total Rain (in),Total Rain (mm)
47,2006-02-17,,70,12.5.24.7,29.631999999999998,2.8,3.8,36,0.100,0.100,0.0,6.8.14.0,12.4.24.7,29.5,29.7,15.0.021,17.0,100.0,63.0,6.8.14.0,0.0,0.0
48,2006-02-18,,70,5.0.15.0,29.362,2.6,3.4,23,0.300,0.300,0.01,30.1.1.1,6.9.21.6,29.0,29.7,16.0.08,20.0,87.0,54.0,30.1.1.1,0.0,0.0
49,2006-02-19,,69,11.5.11.4,28.997,3.6,5.2,256,0.360,0.360,0.02,32.7.0.4,10.5.11.9,28.9,29.1,25.0.241,33.0,100.0,38.0,32.7.0.4,0.0,0.0
50,2006-02-20,,45,0.2.17.9,29.026999999999997,12.9,17.4,251,0.360,0.360,0.0,26.9.2.8,10.9.11.7,28.9,29.1,36.0.237,47.0,78.0,23.0,26.9.2.8,0.0,0.0
51,2006-02-21,,39,0.8.17.4,28.875999999999998,14.2,19.9,251,0.360,0.360,0.0,29.0.1.7,18.3.7.6,28.8,28.9,30.0.248,39.0,47.0,30.0,29.0.1.7,0.0,0.0
52,2006-02-22,,,,,,,,,,,,,,,,,,,,,
53,2006-02-23,,,,,,,,,,,,,,,,,,,,,
54,2006-02-24,,,,,,,,,,,,,,,,,,,,,
55,2006-02-25,,,,,,,,,,,,,,,,,,,,,
56,2006-02-26,,,,,,,,,,,,,,,,,,,,,
57,2006-02-27,,,,,,,,,,,,,,,,,,,,,
58,2006-02-28,,,,,,,,,,,,,,,,,,,,,
59,2006-03-01,,36,12.3.10.9,28.814,13.1,18.4,255,0.000,0.360,0.0,47.6.8.7,26.1.3.3,28.4,29.1,29.0.253,39.0,71.0,20.0,47.6.8.7,0.0,0.0
60,2006-03-02,,44,9.7.12.4,29.114,2.2,3.6,26,0.000,0.360,0.0,49.9.9.9,17.0.8.3,29.0,29.2,15.0.029,20.0,74.0,19.0,49.9.9.9,0.0,0.0
61,2006-03-03,,25,5.9.14.5,28.642,6.9,10.2,253,0.000,0.360,0.0,49.9.9.9,25.8.3.4,28.5,28.7,34.0.223,38.0,62.0,13.0,49.9.9.9,0.0,0.0
62,2006-03-04,,22,5.4.14.8,28.671999999999997,10.7,15.2,241,0.000,0.360,0.0,52.9.11.6,25.8.3.4,28.5,28.8,34.0.227,48.0,62.0,13.0,52.9.11.6,0.0,0.0
63,2006-03-05,,,,,,,,,,,,,,,,,,,,,
64,2006-03-06,,,,,,,,,,,,,,,,,,,,,
65,2006-03-07,,,,,,,,,,,,,,,,,,,,,
66,2006-03-08,,,,,,,,,,,,,,,,,,,,,
67,2006-03-09,,,,,,,,,,,,,,,,,,,,,
68,2006-03-10,,25,5.8.14.6,29.046,12.2,16.6,239,0.000,0.000,0.0,53.8.12.1,19.2.7.1,28.6,29.8,31.0.270,40.0,53.0,15.0,53.8.12.1,0.0,0.0
69,2006-03-11,,75,10.6.11.9,29.955,2.4,3.6,9,0.000,0.000,0.0,23.9.4.5,4.1.15.5,29.8,30.0,12.0.03,18.0,88.0,48.0,23.9.4.5,0.0,0.0
70,2006-03-12,,84,13.5.10.3,29.886,2.9,4.1,34,0.060,0.060,0.02,28.2.2.1,7.2.13.8,29.7,30.1,14.0.067,17.0,88.0,70.0,28.2.2.1,0.06,1.5239999999999998
71,2006-03-13,,60,2.5.16.4,30.302,4.8,7.0,258,0.110,0.110,0.01,26.6.3.0,0.9.18.3,30.1,30.5,22.0.243,34.0,85.0,29.0,26.6.3.0,0.05,1.27
72,2006-03-14,,38,4.6.15.2,30.204,11.4,15.7,251,0.110,0.110,0.0,41.5.5.3,16.4.8.7,29.8,30.4,31.0.246,43.0,53.0,25.0,41.5.5.3,0.0,0.0
73,2006-03-15,,39,8.9.12.9,29.869,14.2,20.0,256,0.130,0.130,0.01,40.1.4.5,22.5.5.3,29.6,30.2,29.0.235,40.0,90.0,24.0,40.1.4.5,0.02,0.508
74,2006-03-16,,42,7.7.13.5,30.25,9.4,12.9,249,0.130,0.130,0.0,40.2.4.6,23.2.4.9,30.2,30.3,32.0.249,43.0,85.0,19.0,40.2.4.6,0.0,0.0
75,2006-03-17,,58,16.7.8.5,30.076999999999998,3.4,5.0,258,0.130,0.130,0.0,49.1.9.5,18.1.7.7,29.9,30.2,22.0.229,29.0,88.0,20.0,49.1.9.5,0.0,0.0
76,2006-03-18,,64,22.2.5.4,29.795,2.5,4.2,37,0.130,0.130,0.0,47.0.8.3,22.7.5.2,29.6,29.9,13.0.072,17.0,92.0,31.0,47.0.8.3,0.0,0.0
77,2006-03-19,,88,24.7.4.0,29.776999999999997,3.3,5.1,56,0.310,0.310,0.01,35.6.2.0,19.2.7.1,29.7,29.9,15.0.020,20.0,93.0,73.0,35.6.2.0,0.18,4.571999999999999
78,2006-03-20,,84,11.9.11.1,30.064,3.1,4.8,59,0.370,0.370,0.01,26.4.3.1,11.6.11.3,24.2,30.3,12.0.057,14.0,88.0,78.0,26.4.3.1,0.06,1.5239999999999998
79,2006-03-21,,79,12.9.10.6,30.01,1.9,2.9,35,0.380.10,0.380.10,0.01,33.1.0.6,7.7.13.5,24.1,30.4,13.0.048,16.0,88.0,62.0,33.1.0.6,0.01,0.254
80,2006-03-22,,83,18.5.7.5,29.8,2.0,3.2,28,0.410.10,0.410.10,0.01,36.9.2.7,12.8.10.7,24.1,30.5,16.0.353,20.0,91.0,49.0,36.9.2.7,0.03,0.7619999999999999
81,2006-03-23,,72,16.3.8.7,28.941999999999997,1.5,2.8,87,0.550.14,0.550.14,0.01,40.3.4.6,8.4.13.1,24.0,30.7,10.0.258,13.0,89.0,30.0,40.3.4.6,0.14,3.556
82,2006-03-24,,55,14.4.9.8,29.166,4.3,6.4,269,0.550.14,0.550.14,0.0,49.5.9.7,16.5.8.6,23.9,30.5,18.0.239,25.0,89.0,19.0,49.5.9.7,0.0,0.0
83,2006-03-25,,45,16.9.8.4,29.070999999999998,6.0,8.2,251,0.550.14,0.550.14,0.0,55.0.12.8,23.8.4.6,23.8,30.2,24.0.237,28.0,87.0,11.0,55.0.12.8,0.0,0.0
84,2006-03-26,,46,15.2.9.4,28.338,12.7,18.4,255,0.550.14,0.550.14,0.0,45.4.7.4,26.4.3.1,23.7,30.1,32.0.249,49.0,87.0,24.0,45.4.7.4,0.0,0.0
85,2006-03-27,,38,11.0.11.7,28.796,10.1,14.0,233,0.550.14,0.550.14,0.0,47.9.8.8,26.9.2.8,23.9,30.2,30.0.240,37.0,69.0,18.0,47.9.8.8,0.0,0.0
86,2006-03-28,,44,17.3.8.2,28.811,4.4,6.6,235,0.550.14,0.550.14,0.0,58.1.14.5,22.2.5.4,23.8,30.2,21.0.023,26.0,75.0,18.0,58.1.14.5,0.0,0.0
87,2006-03-29,,50,23.6.4.7,29.307,7.9,11.0,246,0.550.14,0.550.14,0.0,54.1.12.3,27.9.2.3,23.8,29.8,30.0.237,43.0,87.0,25.0,54.1.12.3,0.0,0.0
88,2006-03-30,,43,16.8.8.4,29.726999999999997,17.8,23.9,249,0.550.14,0.550.14,0.0,44.4.6.9,33.5.0.8,25.8,30.0,39.0.239,47.0,63.0,28.0,44.4.6.9,0.0,0.0
89,2006-03-31,,34,12.5.10.9,29.857,7.4,10.7,245,0.000,0.550.14,0.0,53.7.12.1,28.7.1.8,23.8,30.1,26.0.250,34.0,63.0,12.0,53.7.12.1,0.0,0.0
90,2006-04-01,,54,22.7.5.2,28.406999999999996,8.0,10.8,251,0.000,0.550.14,0.0,51.9.11.1,26.0.3.3,23.8,30.0,29.0.245,39.0,86.0,31.0,51.9.11.1,0.0,0.0
91,2006-04-02,,28,6.6.14.1,28.58,15.1,21.3,253,0.000,0.550.14,0.0,47.4.8.6,28.5.1.9,23.8,30.3,37.0.269,49.0,51.0,16.0,47.4.8.6,0.0,0.0
92,2006-04-03,,44,16.2.8.8,29.055,2.9,4.7,54,0.000,0.550.14,0.0,55.1.12.8,21.6.5.8,23.8,30.4,12.0.018,17.0,71.0,22.0,55.1.12.8,0.0,0.0
93,2006-04-04,,50,23.9.4.5,29.538,7.1,9.4,245,0.000,0.550.14,0.0,60.4.15.8,26.1.3.3,23.7,30.1,30.0.213,36.0,79.0,24.0,60.4.15.8,0.0,0.0
94,2006-04-05,,47,25.0.3.9,29.494,5.6,8.4,233,0.000,0.550.14,0.0,64.3.17.9,27.3.2.6,23.7,29.9,30.0.232,38.0,81.0,20.0,64.3.17.9,0.0,0.0
95,2006-04-06,,37,12.5.10.8,29.49,14.4,19.8,251,0.000,0.550.14,0.0,45.8.7.7,31.0.0.6,25.7,29.7,31.0.233,39.0,65.0,19.0,45.8.7.7,0.0,0.0
96,2006-04-07,,56,21.7.5.7,29.984,6.1,9.0,246,0.020,0.570.14,0.01,46.5.8.1,24.1.4.4,23.8,30.4,30.0.228,36.0,92.0,27.0,46.5.8.1,0.02,0.508
97,2006-04-08,,46,17.8.7.9,30.107,7.4,10.1,247,0.020,0.570.14,0.0,61.8.16.6,18.9.7.3,29.8,30.4,25.0.236,33.0,85.0,16.0,61.8.16.6,0.0,0.0
98,2006-04-09,,,,,,,,,,,,,,,,,,,,,
99,2006-04-10,,,,,,,,,,,,,,,,,,,,,
100,2006-04-11,,,,,,,,,,,,,,,,,,,,,
101,2006-04-12,,,,,,,,,,,,,,,,,,,,,
102,2006-04-13,,27,14.1.10.0,29.941999999999997,12.2,15.0,249,0.020,0.570.14,0.0,59.8.15.4,45.4.7.4,29.7,30.0,15.0.032,20.0,100.0,15.0,59.8.15.4,0.0,0.0
103,2006-04-14,,20,14.8.9.5,29.627,10.6,14.6,236,0.020,0.570.14,0.0,68.1.20.1,46.0.7.8,29.3,29.8,29.0.232,39.0,100.0,11.0,71.4.21.9,0.0,0.0
104,2006-04-15,,49,26.8.2.9,29.456,14.5,20.9,255,0.040,0.590.15,0.01,52.8.11.6,35.2.1.8,29.0,29.7,38.0.248,49.0,100.0,33.0,52.8.11.6,0.02,0.508
105,2006-04-16,,29,20.1.6.6,29.658,12.0,17.0,251,0.040,0.590.15,0.0,67.4.19.7,44.8.7.1,29.5,29.8,25.0.238,36.0,100.0,11.0,71.5.21.9,0.0,0.0
106,2006-04-17,,22,12.4.10.9,29.436999999999998,11.2,16.5,246,0.040,0.590.15,0.0,70.7.21.5,31.5.0.3,29.2,29.9,29.0.263,37.0,100.0,5.0,78.2.25.7,0.0,0.0
107,2006-04-18,,43,10.9.11.7,29.945999999999998,13.2,18.8,250,0.040,0.590.15,0.0,39.1.3.9,27.2.2.7,29.5,30.2,32.0.230,41.0,80.0,27.0,39.1.3.9,0.0,0.0
108,2006-04-19,,26,3.1.16.0,30.059,13.0,18.6,255,0.040,0.590.15,0.0,50.5.10.3,25.1.3.8,29.9,30.2,34.0.236,43.0,60.0,14.0,50.5.10.3,0.0,0.0
109,2006-04-20,,32,10.6.11.9,30.006999999999998,2.4,4.3,52,0.040,0.590.15,0.0,56.7.13.7,19.5.6.9,23.8,30.2,17.0.040,20.0,100.0,17.0,56.7.13.7,0.0,0.0
110,2006-04-21,,32,12.8.10.7,29.967,5.8,8.3,240,0.040,0.590.15,0.0,68.4.20.2,23.3.4.8,23.9,30.3,24.0.237,32.0,70.0,9.0,70.8.21.6,0.0,0.0
111,2006-04-22,,28,13.2.10.4,29.888,3.9,6.1,219,0.040,0.590.15,0.0,72.7.22.6,27.5.2.5,29.7,30.1,24.0.218,29.0,57.0,6.0,72.8.22.7,0.0,0.0
112,2006-04-23,,46,25.7.3.5,29.784000000000002,4.9,7.5,39,0.040,0.590.15,0.0,70.6.21.4,32.2.0.1,29.6,30.0,22.0.206,28.0,82.0,8.0,77.8.25.4,0.0,0.0
113,2006-04-24,,90,26.7.2.9,30.136999999999997,3.8,6.0,58,0.240,0.790.20,0.02,40.6.4.8,23.4.4.8,29.8,30.4,13.0.359,14.0,93.0,82.0,40.6.4.8,0.2,5.08
114,2006-04-25,,85,24.0.4.5,30.333000000000002,2.9,4.8,39,0.410.10,0.960.24,0.01,36.0.2.2,20.3.6.5,30.2,30.4,13.0.052,17.0,100.0,76.0,36.0.2.2,0.17,4.3180000000000005
115,2006-04-26,,57,24.9.4.0,30.066999999999997,2.3,3.9,252,0.420.11,0.970.24,0.01,61.8.16.6,23.6.4.7,29.8,30.2,17.0.232,20.0,100.0,18.0,61.8.16.6,0.01,0.254
116,2006-04-27,,43,21.2.6.0,29.842,5.1,7.8,286,0.420.11,0.970.24,0.0,68.6.20.3,26.6.3.0,29.7,30.0,22.0.337,32.0,100.0,10.0,73.3.22.9,0.0,0.0
117,2006-04-28,,69,27.9.2.3,30.008000000000003,5.7,8.5,27,0.480.12,1.030.26,0.01,47.0.8.3,31.5.0.3,23.8,30.2,28.0.019,34.0,100.0,36.0,47.0.8.3,0.06,1.5239999999999998
118,2006-04-29,,51,21.4.5.9,30.048000000000002,4.8,7.4,300,0.500.13,1.050.26,0.01,56.6.13.7,25.1.3.8,29.9,30.2,18.0.345,30.0,100.0,18.0,56.6.13.7,0.02,0.508
119,2006-04-30,,55,29.8.1.2,29.781,6.4,9.8,273,0.000,1.160.29,0.01,61.2.16.2,37.5.3.1,29.6,29.9,23.0.344,31.0,100.0,22.0,61.2.16.2,0.0,0.0
120,2006-05-01,,51,24.5.4.2,29.94,5.7,8.2,242,0.000,1.160.29,0.0,64.0.17.8,29.4.1.4,29.8,30.1,23.0.218,32.0,100.0,13.0,64.0.17.8,0.0,0.0
121,2006-05-02,,36,25.1.3.8,29.779,9.9,14.0,244,0.000,1.160.29,0.0,64.4.18.0,34.3.1.3,29.6,30.1,36.0.234,47.0,100.0,19.0,64.2.17.9,0.0,0.0
122,2006-05-03,,74,30.4.0.9,30.063000000000002,3.3,5.2,32,0.390.10,1.550.39,0.01,49.6.9.8,33.4.0.8,29.9,30.1,22.0.013,26.0,93.0,44.0,49.6.9.8,0.0,0.0
123,2006-05-04,,90,34.9.1.6,30.101,2.2,3.7,44,0.550.14,1.710.43,0.01,41.5.5.3,34.3.1.3,25.6,30.2,13.0.046,14.0,100.0,78.0,41.5.5.3,0.0,0.0
124,2006-05-05,,89,34.4.1.3,30.058000000000003,1.9,3.2,20,0.670.17,1.830.46,0.06,41.5.5.3,33.4.0.8,25.8,30.1,12.0.354,14.0,100.0,78.0,41.5.5.3,0.0,0.0
125,2006-05-06,,61,29.2.1.5,29.923000000000002,3.5,5.6,267,0.680.17,1.840.46,0.01,62.3.16.8,28.4.2.0,29.7,30.1,18.0.243,22.0,100.0,21.0,62.3.16.8,0.0,0.0
126,2006-05-07,,47,27.6.2.4,29.763,5.5,8.5,259,0.680.17,1.840.46,0.0,60.3.15.7,36.5.2.5,29.6,29.9,24.0.228,34.0,100.0,24.0,60.3.15.7,0.0,0.0
127,2006-05-08,,54,32.0.0.0,29.673000000000002,12.3,17.3,250,0.720.18,1.880.47,0.01,57.5.14.2,39.3.4.1,29.5,29.8,31.0.242,39.0,100.0,32.0,57.5.14.2,0.0,0.0
128,2006-05-09,,36,17.3.8.2,29.838,9.9,14.9,260,0.720.18,1.880.47,0.0,56.5.13.6,32.5.0.3,29.7,30.0,28.0.224,34.0,100.0,13.0,56.5.13.6,0.0,0.0
129,2006-05-10,,46,14.9.9.5,30.176,5.7,9.2,293,0.760.19,1.920.48,0.01,50.5.10.3,26.0.3.3,30.0,30.3,22.0.316,34.0,100.0,15.0,50.5.10.3,0.0,0.0
130,2006-05-11,,39,17.1.8.3,30.166999999999998,3.2,5.4,1,0.760.19,1.920.48,0.0,61.2.16.2,22.2.5.4,29.9,30.3,14.0.239,18.0,77.0,13.0,61.2.16.2,0.0,0.0
131,2006-05-12,,31,20.2.6.6,29.85,5.2,8.5,283,0.760.19,1.920.48,0.0,71.5.21.9,29.8.1.2,29.6,30.0,26.0.345,43.0,69.0,13.0,73.7.23.2,0.0,0.0
132,2006-05-13,,32,26.6.3.0,29.838,5.2,7.9,328,0.760.19,1.920.48,0.0,72.8.22.7,45.1.7.3,29.6,30.0,18.0.253,25.0,100.0,12.0,77.1.25.1,0.0,0.0
133,2006-05-14,,48,31.5.0.3,30.141,3.2,5.5,63,0.760.19,1.920.48,0.0,62.0.16.7,37.5.3.1,29.9,30.3,17.0.047,20.0,70.0,28.0,62.0.16.7,0.0,0.0
134,2006-05-15,,45,25.6.3.6,30.283,3.0,5.4,63,0.760.19,1.920.48,0.0,65.3.18.5,28.7.1.8,30.1,30.4,16.0.062,21.0,83.0,23.0,75.6.24.2,0.0,0.0
135,2006-05-16,,38,22.8.5.1,30.142,4.7,7.0,15,0.760.19,1.920.48,0.0,73.4.23.0,28.7.1.8,29.9,30.3,25.0.010,32.0,80.0,9.0,74.8.23.8,0.0,0.0
136,2006-05-17,,47,30.4.0.9,30.003,4.9,7.2,347,0.760.19,1.920.48,0.0,74.0.23.3,35.2.1.8,29.9,30.1,30.0.349,39.0,78.0,12.0,76.2.24.6,0.0,0.0
137,2006-05-18,,42,31.5.0.3,29.905,3.9,6.0,328,0.760.19,1.920.48,0.0,73.5.23.1,38.2.3.4,29.7,30.1,26.0.351,37.0,79.0,18.0,77.1.25.1,0.0,0.0
138,2006-05-19,,37,31.8.0.1,29.804000000000002,5.2,8.3,284,0.760.19,1.920.48,0.0,80.7.27.1,42.9.6.1,29.6,29.9,21.0.265,36.0,62.0,12.0,78.8.26.0,0.0,0.0
139,2006-05-20,,32,33.3.0.7,29.715,7.4,10.7,252,0.760.19,1.920.48,0.0,77.2.25.1,54.1.12.3,29.6,29.8,24.0.246,32.0,50.0,17.0,77.9.25.5,0.0,0.0
140,2006-05-21,,36,30.0.1.1,29.771,4.2,6.6,261,0.760.19,1.920.48,0.0,78.2.25.7,42.9.6.1,29.6,29.9,22.0.251,29.0,100.0,12.0,77.3.25.2,0.0,0.0
141,2006-05-22,,55,37.3.2.9,29.756,3.6,5.9,241,1.050.26,2.210.55,0.08,74.9.23.8,39.3.4.1,29.5,29.9,32.0.243,36.0,91.0,19.0,79.0.26.1,0.0,0.0
142,2006-05-23,,45,32.6.0.3,29.794,13.0,18.4,249,1.060.27,2.220.56,0.01,61.8.16.6,43.9.6.6,29.5,29.9,32.0.238,46.0,76.0,28.0,61.8.16.6,0.0,0.0
143,2006-05-24,,31,28.9.1.7,29.904,10.4,15.1,249,1.060.27,2.220.56,0.0,75.4.24.1,47.4.8.6,29.8,30.0,29.0.267,40.0,58.0,15.0,75.8.24.3,0.0,0.0
